city,state,median_sale_price
Ashippun,Wisconsin,374950.0
Ashland,California,740000.0
Ashland,Kentucky,139900.0
Ashland,Massachusetts,604750.0
Ashland,Missouri,336162.5
Ashland,Nebraska,295000.0
Ashland,New Hampshire,335500.0
Ashland,New Jersey,366000.0
Ashland,New York,117450.0
Ashland,Ohio,180000.0
Ashland,Oregon,506250.0
Ashland,Pennsylvania,90000.0
Ashland,Virginia,362500.0
Ashland City,Tennessee,305000.0
Ashley,Indiana,158000.0
Ashley,Michigan,128500.0
Ashley,Ohio,257500.0
Ashley,Pennsylvania,135000.0
Ashley Heights,North Carolina,370714.0
Ashmore,Illinois,97250.0
Ashtabula,Ohio,120275.0
Ashton,Idaho,360000.0
Ashton,Illinois,140000.0
Ashton-Sandy Spring,Maryland,830000.0
Ashville,Alabama,246475.0
Ashville,Ohio,308500.0
Ashwaubenon,Wisconsin,381000.0
Asotin,Washington,325000.0
Aspen,Colorado,2850000.0
Aspen Hill,Maryland,489125.0
Aspen Park,Colorado,695000.0
Aspers,Pennsylvania,455000.0
Aspinwall,Pennsylvania,449500.0
Assaria,Kansas,140000.0
Assumption,Illinois,153000.0
Astatula,Florida,350400.0
Astor,Florida,228750.0
Astoria,Illinois,35000.0
Astoria,Oregon,486250.0
Atascadero,California,695000.0
Atascocita,Texas,327450.0
Atchison,Kansas,149750.0
Atco,New Jersey,343500.0
Atglen,Pennsylvania,485000.0
Athena,Oregon,375000.0
Athens,Alabama,322482.5
Athens,Illinois,152500.0
Athens,Michigan,190000.0
Athens,Ohio,216850.0
Athens,Pennsylvania,206500.0
Athens,Tennessee,236500.0
Athens,Texas,237475.0
Athens,Wisconsin,214900.0
Atherton,California,8665000.0
Athol,Idaho,397875.0
Athol,Massachusetts,325000.0
Atkins,Arkansas,146000.0
Atkins,Iowa,294500.0
Atkinson,Illinois,161375.0
Atkinson,North Carolina,207750.0
Atlanta,Georgia,433965.0
Atlanta,Illinois,161116.75
Atlanta,Indiana,255000.0
Atlantic Beach,Florida,716250.0
Atlantic Beach,New York,1390000.0
Atlantic Beach,North Carolina,590000.0
Atlantic Beach,South Carolina,313750.0
Atlantic City,New Jersey,226250.0
Atlantic Highlands,New Jersey,665000.0
Atlantic Mine,Michigan,201000.0
Atlantis,Florida,535000.0
Atlas,Pennsylvania,61000.0
Atmore,Alabama,157500.0
Atoka,Tennessee,351375.0
Attalla,Alabama,136100.0
Attica,Michigan,450000.0
Attica,Ohio,60000.0
Attleboro,Massachusetts,489975.0
Atwater,California,400000.0
Atwater,Minnesota,200000.0
Atwater,Ohio,150000.0
Atwood,Illinois,91250.0
Auberry,California,350000.0
Aubrey,Texas,339000.0
Auburn,Alabama,396095.5
Auburn,California,616500.0
Auburn,Georgia,353511.25
Auburn,Illinois,150550.0
Auburn,Indiana,220000.0
Auburn,Kansas,236500.0
Auburn,Maine,324000.0
Auburn,Massachusetts,426500.0
Auburn,Michigan,219750.0
Auburn,New Jersey,519950.0
Auburn,New York,154000.0
Auburn,Pennsylvania,148750.0
Auburn,Washington,564500.0
Auburn Hills,Michigan,280000.0
Auburn Lake Trails,California,508375.0
Auburndale,Florida,337963.0
Audubon,New Jersey,350000.0
Audubon,Pennsylvania,540000.0
Audubon Park,Kentucky,375500.0
August,California,329500.0
Augusta,Illinois,118500.0
Augusta,Kansas,170500.0
